0.1,0.27,0.4
0.1,0.27,0.41
0.1,0.27,0.42
0.1,0.27,0.43
0.1,0.27,0.44
0.1,0.27,0.45
0.1,0.27,0.46
0.1,0.27,0.47
0.1,0.27,0.48
0.1,0.27,0.49
0.1,0.27,0.5
0.1,0.27,0.51
0.1,0.27,0.52
0.1,0.27,0.53
0.1,0.27,0.54
0.1,0.27,0.55
0.1,0.27,0.56
0.1,0.27,0.57
0.1,0.27,0.58
0.1,0.27,0.59
0.1,0.27,0.6
0.1,0.27,0.61
0.1,0.27,0.62
0.1,0.27,0.63
0.1,0.27,0.64
0.1,0.27,0.65
0.1,0.27,0.66
0.1,0.27,0.67
0.1,0.27,0.68
0.1,0.27,0.69
0.1,0.27,0.7
0.1,0.27,0.71
0.1,0.27,0.72
0.1,0.27,0.73
0.1,0.27,0.74
0.1,0.27,0.75
0.1,0.27,0.76
0.1,0.27,0.77
0.1,0.27,0.78
0.1,0.27,0.79
0.1,0.27,0.8
0.1,0.27,0.81
0.1,0.27,0.82
0.1,0.27,0.83
0.1,0.27,0.84
0.1,0.27,0.85
0.1,0.27,0.86
0.1,0.27,0.87
0.1,0.27,0.88
0.1,0.27,0.89
0.1,0.27,0.9
0.1,0.27,0.91
0.1,0.27,0.92
0.1,0.27,0.93
0.1,0.27,0.94
0.1,0.27,0.95
0.1,0.27,0.96
0.1,0.27,0.97
0.1,0.27,0.98
0.1,0.27,0.99
