1,0.22,0.01
1,0.33,0.02
1,0.35,0.01
1,0.39,0.03
1,0.39,0.18
1,0.39,0.19
1,0.39,0.2
1,0.39,0.21
1,0.39,0.22
1,0.4,0.55
1,0.4,0.56
1,0.4,0.57
1,0.4,0.58
1,0.4,0.59
1,0.4,0.6
1,0.4,0.61
1,0.4,0.62
1,0.4,0.63
1,0.4,0.64
1,0.4,0.65
1,0.4,0.66
1,0.4,0.67
1,0.4,0.68
1,0.4,0.69
1,0.4,0.7
1,0.4,0.71
1,0.4,0.72
1,0.4,0.73
1,0.4,0.74
1,0.4,0.75
1,0.4,0.76
1,0.4,0.77
1,0.4,0.78
1,0.4,0.79
1,0.4,0.8
1,0.4,0.81
1,0.4,0.82
1,0.4,0.83
1,0.4,0.84
1,0.4,0.85
1,0.4,0.86
1,0.4,0.87
1,0.4,0.88
1,0.4,0.89
1,0.4,0.9
1,0.4,0.91
1,0.4,0.92
1,0.4,0.93
1,0.4,0.94
1,0.4,0.95
1,0.4,0.96
1,0.4,0.97
1,0.4,0.98
1,0.4,0.99
0.05,0.21,0.05
0.05,0.25,0.14
0.05,0.26,0.18
0.05,0.26,0.19
0.05,0.26,0.2
0.05,0.28,0.11
